state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,international_plan_flag,voice_mail_plan_flag,total_traffic_minutes,total_calls,total_cost,avg_minutes_per_call,capacity_risk,incident_level,cost_per_minute,calls_per_minute
MT,73,415,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,0,0,560.5,258,56.68999999999999,2.1724806201550386,Warning,Low,0.10114183764495983,0.46030330062444247
ID,77,415,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,0,0,742.5,314,75.32000000000001,2.3646496815286624,Critical,Medium,0.10144107744107746,0.4228956228956229
MA,108,415,No,No,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,0,0,511.0,320,56.129999999999995,1.596875,Normal,Low,0.10984344422700586,0.6262230919765166
KY,95,408,No,No,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,0,0,576.4000000000001,316,52.980000000000004,1.8240506329113928,Warning,Low,0.09191533657182512,0.5482303955586397
MI,36,510,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,0,1,679.8,297,75.88000000000001,2.2888888888888888,Warning,Medium,0.11162106501912329,0.4368932038834952
CO,141,415,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,0,1,509.20000000000005,331,49.0,1.5383685800604232,Normal,Low,0.09622937941869598,0.6500392772977218
AZ,63,415,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,0,0,449.29999999999995,275,36.48,1.6338181818181816,Normal,Low,0.08119296683730247,0.612063209436902
ID,97,408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,0,0,606.6000000000001,322,67.83,1.8838509316770191,Warning,Medium,0.11181998021760631,0.5308275634685129
CA,75,408,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,0,0,587.3000000000001,296,54.919999999999995,1.9841216216216218,Warning,Low,0.09351268516941935,0.5040013621658437
WA,127,408,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,0,0,567.3000000000001,282,55.09,2.0117021276595746,Warning,Low,0.09710911334390974,0.4970914859862506
LA,121,408,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,0,0,570.0,327,58.989999999999995,1.7431192660550459,Warning,Low,0.10349122807017543,0.5736842105263158
NE,117,415,No,No,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,0,0,618.6,322,51.239999999999995,1.9211180124223604,Warning,Low,0.08283220174587777,0.5205302295505981
OH,65,408,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,0,0,580.3,325,57.60000000000001,1.7855384615384613,Warning,Low,0.0992590039634672,0.5600551438910909
MO,6,510,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,0,0,629.1,270,63.82,2.33,Warning,Low,0.10144651088857097,0.42918454935622313
AL,32,510,No,No,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,0,0,578.5999999999999,232,63.81,2.493965517241379,Warning,Low,0.11028344279294852,0.4009678534393364
NH,64,408,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,0,1,527.1,280,55.650000000000006,1.8825,Normal,Medium,0.10557768924302789,0.5312084993359893
NM,25,415,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,0,0,610.2,278,53.2,2.1949640287769787,Warning,Medium,0.08718452966240577,0.45558833169452634
OR,65,415,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,0,0,492.20000000000005,332,47.09,1.482530120481928,Normal,Low,0.09567249085737504,0.674522551808208
MI,127,415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,0,0,638.2,305,65.75,2.092459016393443,Warning,Medium,0.10302413036665621,0.47790661234722653
AZ,93,415,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,0,0,589.1999999999999,303,72.09,1.9445544554455443,Warning,Medium,0.12235234215885948,0.5142566191446029
TX,208,510,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,0,0,695.2,288,81.57000000000001,2.413888888888889,Warning,Medium,0.1173331415420023,0.41426927502876865
IN,122,415,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,0,0,521.2,262,60.370000000000005,1.9893129770992368,Normal,Medium,0.11582885648503453,0.5026861089792786
LA,99,415,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,0,0,596.5,289,65.82,2.06401384083045,Warning,Low,0.1103436714165968,0.4844928751047779
MS,65,415,No,No,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,0,0,633.6,314,57.44,2.0178343949044586,Warning,Low,0.09065656565656564,0.49558080808080807
IN,65,415,No,No,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,0,0,700.7,332,68.19000000000001,2.110542168674699,Critical,Low,0.09731696874554019,0.47381190238333093
KY,45,415,No,Yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,0,1,684.9999999999999,287,70.6,2.386759581881533,Warning,Low,0.10306569343065694,0.4189781021897811
MN,139,510,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,0,0,549.5000000000001,331,52.27,1.6601208459214505,Normal,High,0.09512283894449498,0.6023657870791628
WY,215,510,No,No,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,0,0,441.8,358,37.58,1.2340782122905027,Normal,Low,0.08506111362607514,0.8103214124038026
AZ,94,408,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,0,0,639.3000000000001,282,61.66,2.2670212765957447,Warning,High,0.09644924135773501,0.44110746128578127
NM,119,510,No,Yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,0,1,672.1999999999999,367,63.28,1.8316076294277928,Warning,Medium,0.09413864921154419,0.5459684617673312
MI,86,510,No,Yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,0,1,595.4,296,53.01,2.0114864864864863,Warning,Low,0.08903258313738663,0.4971447766207592
FL,106,408,No,Yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,0,1,569.6,313,58.199999999999996,1.8198083067092652,Warning,High,0.10217696629213482,0.5495084269662921
KS,92,408,Yes,No,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,1,0,475.29999999999995,319,38.78,1.4899686520376174,Normal,Low,0.08159057437407954,0.6711550599621292
SC,78,510,No,No,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,0,0,643.0,320,61.64,2.009375,Warning,Low,0.09586314152410576,0.4976671850699845
NC,155,408,No,No,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,0,0,611.8,259,69.97999999999999,2.362162162162162,Warning,Medium,0.1143837855508336,0.4233409610983982
MO,64,510,No,Yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,0,1,382.5,298,35.480000000000004,1.2835570469798658,Normal,Low,0.09275816993464053,0.7790849673202614
WA,83,415,No,No,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,0,0,585.5,311,65.5,1.882636655948553,Warning,Medium,0.11187019641332195,0.5311699402220325
SD,144,408,No,Yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,0,1,533.9000000000001,271,54.160000000000004,1.9701107011070114,Normal,Medium,0.1014422176437535,0.507585690204158
MT,143,415,No,No,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,0,0,547.5,328,56.059999999999995,1.6692073170731707,Normal,Medium,0.10239269406392693,0.5990867579908675
MN,81,415,No,No,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,0,0,613.0,278,63.17,2.2050359712230216,Warning,Medium,0.10305057096247962,0.4535073409461664
SD,145,408,No,Yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,0,1,590.9,303,55.559999999999995,1.9501650165016502,Warning,Medium,0.09402606193941444,0.5127771196479946
OK,89,510,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,0,0,882.1999999999999,301,89.31,2.930897009966777,Critical,Low,0.10123554749489913,0.34119247336204944
CT,199,415,No,Yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,0,1,757.3,316,73.48,2.396518987341772,Critical,Low,0.0970289185263436,0.41727188696685596
CT,96,415,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,0,1,519.1999999999999,300,52.07,1.7306666666666664,Normal,High,0.100288906009245,0.5778120184899846
MN,94,415,No,No,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False,0,0,675.6999999999999,305,62.58,2.2154098360655734,Warning,Low,0.09261506585762913,0.4513837501849934
FL,127,415,No,No,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,0,0,744.5000000000001,395,78.74000000000001,1.8848101265822788,Critical,Low,0.1057622565480188,0.5305574210879784
RI,121,408,No,No,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,0,0,829.1,266,75.14999999999999,3.1169172932330826,Critical,Low,0.09064045350379929,0.32082981546254974
IN,122,408,No,No,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,0,0,656.5,298,77.76,2.203020134228188,Warning,High,0.11844630616907846,0.45392231530845395
AL,121,408,No,Yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False,0,1,486.69999999999993,210,41.42,2.3176190476190475,Normal,Low,0.08510376001643724,0.4314772960756113
OR,77,510,No,No,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False,0,0,720.6,305,74.02,2.3626229508196723,Critical,Medium,0.10271995559256175,0.4232583957812934
MS,64,408,Yes,No,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,1,0,662.1,261,71.02,2.5367816091954025,Warning,Medium,0.10726476363087147,0.3942002718622564
CA,124,408,Yes,No,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,False,1,0,650.6999999999999,287,69.94999999999999,2.2672473867595815,Warning,Low,0.10749961579837097,0.4410634701091133
DE,148,415,No,No,0,124.4,83,21.15,179.7,81,15.27,253.0,99,11.39,11.3,6,3.05,0,False,0,0,568.4,269,50.86,2.1130111524163566,Warning,Low,0.08947923997185081,0.4732582688247713
MS,77,408,No,No,0,230.0,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,False,0,0,654.0999999999999,364,64.85000000000001,1.7969780219780218,Warning,Medium,0.09914386179483262,0.5564898333588137
NC,135,415,No,No,0,201.8,81,34.31,225.0,114,19.13,204.4,82,9.2,10.3,6,2.78,1,False,0,0,641.5,283,65.42,2.26678445229682,Warning,Low,0.10197973499610288,0.441153546375682
SD,87,415,No,Yes,21,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0,False,0,1,539.1,314,60.59,1.7168789808917198,Normal,Low,0.11239102207382674,0.5824522352068262
NH,54,510,No,No,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,False,0,0,551.3,243,61.22,2.2687242798353906,Warning,Low,0.11104661708688555,0.4407763468166153
MA,35,415,No,No,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,False,0,0,585.6,338,51.839999999999996,1.7325443786982249,Warning,Low,0.08852459016393442,0.5771857923497268
TX,84,408,No,No,0,138.6,102,23.56,199.0,93,16.92,204.1,137,9.18,7.8,4,2.11,0,False,0,0,549.5,336,51.77,1.6354166666666667,Normal,Low,0.09421292083712467,0.6114649681528662
OR,94,415,No,No,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2.0,2,0.54,1,True,0,0,749.9000000000001,335,74.67,2.2385074626865675,Critical,Low,0.09957327643685823,0.4467262301640218
UT,96,408,No,Yes,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,False,0,1,513.0,295,51.23,1.7389830508474575,Normal,Low,0.0998635477582846,0.5750487329434698
NV,64,415,No,No,0,97.2,80,16.52,186.2,90,15.83,189.0,92,8.5,10.4,6,2.81,2,False,0,0,482.79999999999995,268,43.660000000000004,1.8014925373134327,Normal,Medium,0.09043082021541013,0.5550952775476389
NE,85,415,No,No,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0,False,0,0,676.3000000000001,275,73.83,2.4592727272727277,Warning,Low,0.1091675292030164,0.40662427916605054
AZ,117,408,No,No,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,False,0,0,634.0,285,67.72,2.2245614035087717,Warning,Low,0.10681388012618297,0.44952681388012616
DC,112,415,No,Yes,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1,False,0,1,563.0999999999999,344,60.79,1.6369186046511626,Warning,Low,0.10795595808914937,0.6109039247025396
MA,129,510,Yes,No,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,False,1,0,594.4999999999999,366,60.730000000000004,1.62431693989071,Warning,Low,0.10215306980656017,0.6156433978132886
AZ,140,408,No,No,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,False,0,0,590.5,330,58.61000000000001,1.7893939393939393,Warning,Medium,0.09925486875529213,0.558848433530906
MI,81,415,No,No,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,False,0,0,555.9,289,53.53000000000001,1.9235294117647057,Warning,Medium,0.096294297535528,0.5198776758409787
TX,70,510,No,No,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3.0,0,False,0,0,536.1,301,44.349999999999994,1.781063122923588,Normal,Low,0.08272710315239692,0.5614624137287819
ID,79,510,No,Yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,False,0,1,646.8,292,71.67,2.2150684931506848,Warning,High,0.11080705009276438,0.4514533085961658
AL,85,408,No,No,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,False,0,0,613.8,312,57.27,1.9673076923076922,Warning,Low,0.09330400782013687,0.5083088954056696
SD,91,510,No,No,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,False,0,0,662.5999999999999,317,60.12,2.0902208201892742,Warning,Low,0.09073347419257471,0.478418351946876
LA,149,415,No,Yes,20,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,9,3.86,1,False,0,1,677.8999999999999,250,69.54,2.7115999999999993,Warning,Low,0.10258150169641543,0.36878595663077157
AZ,60,415,No,No,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,False,0,0,511.59999999999997,228,44.6,2.2438596491228067,Normal,Medium,0.08717748240813136,0.44566067240031276
RI,115,408,No,No,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,False,0,0,685.6,325,60.629999999999995,2.109538461538462,Warning,Medium,0.08843348891481913,0.4740373395565928
OH,144,415,No,Yes,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,False,0,1,433.0,338,39.39,1.2810650887573964,Normal,Low,0.09096997690531178,0.7806004618937644
AZ,86,415,No,Yes,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3.0,3,False,0,1,493.6,394,40.239999999999995,1.2527918781725889,Normal,Medium,0.08152350081037275,0.7982171799027552
MI,139,415,No,Yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0,False,0,1,627.3,377,67.78999999999999,1.6639257294429708,Warning,Low,0.10806631595727721,0.6009883628248047
NV,124,408,No,No,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,False,0,0,599.1999999999999,323,54.540000000000006,1.8551083591331268,Warning,Low,0.09102136181575436,0.5390520694259012
MA,102,510,Yes,No,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,False,1,0,615.0999999999999,343,68.66,1.7932944606413992,Warning,Low,0.11162412615834824,0.5576329052186637
IN,78,415,No,No,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,False,0,0,754.3,378,73.02999999999999,1.9955026455026454,Critical,Low,0.09681824207874849,0.50112687259711
AL,55,415,Yes,No,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,True,1,0,666.0,308,67.42,2.1623376623376624,Warning,Low,0.10123123123123123,0.4624624624624625
RI,129,415,No,Yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,False,0,1,667.5999999999999,369,57.46,1.8092140921409212,Warning,Medium,0.08606950269622529,0.5527261833433195
ME,75,408,Yes,No,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,True,1,0,502.49999999999994,247,55.440000000000005,2.0344129554655868,Normal,High,0.11032835820895524,0.491542288557214
SD,126,415,No,Yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,False,0,1,557.6,323,49.83,1.7263157894736842,Warning,Medium,0.0893651362984218,0.5792682926829268
MO,92,415,No,No,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,True,0,0,777.4,329,68.68,2.362917933130699,Critical,Medium,0.08834576794443016,0.4232055569848212
OK,52,408,No,No,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,False,0,0,506.0999999999999,324,58.07,1.5620370370370367,Normal,Medium,0.11474016992689194,0.6401896858328395
IL,87,510,No,No,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,6,3.51,1,False,0,0,483.7,355,60.46999999999999,1.3625352112676057,Normal,Low,0.12501550547860243,0.7339259871821378
NJ,95,415,No,Yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,False,0,1,450.4,314,33.39,1.4343949044585986,Normal,Low,0.0741341030195382,0.697158081705151
LA,67,510,No,No,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,False,0,0,632.6,329,71.99000000000001,1.9227963525835867,Warning,High,0.11380018969332913,0.5200758773316472
OR,165,415,No,No,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,False,0,0,644.4999999999999,361,66.5,1.7853185595567864,Warning,Low,0.10318076027928628,0.5601241272304113
RI,150,415,No,Yes,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,1,1.78,0,False,0,1,516.4,243,57.28,2.125102880658436,Normal,Low,0.11092176607281178,0.470565453137103
NC,26,415,No,No,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,False,0,0,646.1,338,67.84,1.9115384615384616,Warning,Medium,0.1049992261259867,0.5231388329979879
MD,79,510,No,Yes,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,False,0,1,434.7,325,44.919999999999995,1.3375384615384616,Normal,Medium,0.10333563377041637,0.7476420519898781
WI,69,510,Yes,No,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,True,1,0,707.9,309,78.67,2.2909385113268605,Critical,Medium,0.11113151575081227,0.43650233083768897
VT,95,510,Yes,Yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,True,1,1,481.6,228,49.129999999999995,2.112280701754386,Normal,High,0.10201411960132889,0.473421926910299
NY,157,415,No,No,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,False,0,0,553.3,330,63.59,1.6766666666666665,Warning,Medium,0.1149286101572384,0.5964214711729623
VT,80,415,No,No,0,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,1,2.89,1,False,0,0,653.4000000000001,301,61.370000000000005,2.1707641196013294,Warning,Low,0.09392408937863482,0.460667278849097
AZ,75,510,No,Yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,False,0,1,652.8999999999999,309,57.97,2.1129449838187697,Warning,Medium,0.08878848215653241,0.47327308929391954
WV,44,510,No,No,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,True,0,0,794.3000000000001,282,77.54,2.816666666666667,Critical,Medium,0.09762054639305048,0.35502958579881655
OK,101,408,No,No,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,True,0,0,533.4,301,48.66,1.7720930232558139,Normal,High,0.09122609673790776,0.5643044619422573
WI,117,408,No,Yes,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1,False,0,1,430.4,288,40.089999999999996,1.4944444444444445,Normal,Low,0.09314591078066914,0.6691449814126395
PA,82,408,No,No,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,False,0,0,529.3,338,50.739999999999995,1.5659763313609467,Normal,Low,0.09586245985263556,0.6385792556206311
NY,39,408,No,No,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,False,0,0,507.40000000000003,282,49.04,1.799290780141844,Normal,Medium,0.09664958612534488,0.5557745368545526
NM,30,415,No,No,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,False,0,0,576.1999999999999,362,58.739999999999995,1.5917127071823203,Warning,Low,0.10194376952447068,0.6282540784449845
NC,63,415,No,Yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,False,0,1,507.70000000000005,262,46.86,1.9377862595419848,Normal,Low,0.09229860153634036,0.5160527870789836
WY,111,415,No,No,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,False,0,0,579.6,257,56.77,2.2552529182879377,Warning,Medium,0.09794685990338164,0.4434092477570738
PA,91,510,No,No,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,False,0,0,663.1999999999999,362,67.44999999999999,1.8320441988950273,Warning,Medium,0.10170386007237635,0.5458383594692401
NV,105,415,Yes,Yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,True,1,1,642.1,298,68.15,2.1546979865771814,Warning,Low,0.10613611586980222,0.46410216477184235
